"","aging","accession","counts"
"611","1~17","GSM4037302",0
"612","15","GSM4037302",0
"613","18~40","GSM4037302",0
"614","41~54","GSM4037302",0
"615","55~","GSM4037302",0
"616","unknown","GSM4037302",46
"617","<1","GSM4037305",0
"618","1~17","GSM4037305",0
"619","15","GSM4037305",0
"620","18~40","GSM4037305",0
"621","41~54","GSM4037305",0
"622","55~","GSM4037305",0
"623","unknown","GSM4037305",103
"624","<1","GSM4037306",0
"625","1~17","GSM4037306",0
"626","15","GSM4037306",0
"627","18~40","GSM4037306",0
"628","41~54","GSM4037306",0
"629","55~","GSM4037306",0
"630","unknown","GSM4037306",46
"631","<1","GSM4037309",0
"632","1~17","GSM4037309",0
"633","15","GSM4037309",0
"634","18~40","GSM4037309",0
"635","41~54","GSM4037309",0
"636","55~","GSM4037309",0
"637","unknown","GSM4037309",13
"638","<1","GSM4037313",0
"639","1~17","GSM4037313",0
"640","15","GSM4037313",0
"641","18~40","GSM4037313",0
"642","41~54","GSM4037313",0
"643","55~","GSM4037313",0
"644","unknown","GSM4037313",34
"645","<1","GSM4037316",0
"646","1~17","GSM4037316",0
"647","15","GSM4037316",0
"648","18~40","GSM4037316",0
"649","41~54","GSM4037316",0
"650","55~","GSM4037316",0
"651","unknown","GSM4037316",22
"652","<1","GSM4037323",0
"653","1~17","GSM4037323",0
"654","15","GSM4037323",0
"655","18~40","GSM4037323",0
"656","41~54","GSM4037323",0
"657","55~","GSM4037323",0
"658","unknown","GSM4037323",14
"659","<1","GSM4037324",0
"660","1~17","GSM4037324",0
"661","15","GSM4037324",0
"662","18~40","GSM4037324",0
"663","41~54","GSM4037324",0
"664","55~","GSM4037324",0
"665","unknown","GSM4037324",35
"666","<1","GSM4037325",0
"667","1~17","GSM4037325",0
"668","15","GSM4037325",0
"669","18~40","GSM4037325",0
"670","41~54","GSM4037325",0
"671","55~","GSM4037325",0
"672","unknown","GSM4037325",44
"673","<1","GSM4058901",0
"674","1~17","GSM4058901",0
"675","15","GSM4058901",0
"676","18~40","GSM4058901",13
"677","41~54","GSM4058901",0
"678","55~","GSM4058901",0
"679","unknown","GSM4058901",0
"680","<1","GSM4058904",0
"681","1~17","GSM4058904",0
"682","15","GSM4058904",0
"683","18~40","GSM4058904",152
"684","41~54","GSM4058904",0
"685","55~","GSM4058904",0
"686","unknown","GSM4058904",0
"687","<1","GSM4058905",0
"688","1~17","GSM4058905",0
"689","15","GSM4058905",0
"690","18~40","GSM4058905",0
"691","41~54","GSM4058905",3
"692","55~","GSM4058905",0
"693","unknown","GSM4058905",0
"694","<1","GSM4058907",0
"695","1~17","GSM4058907",0
"696","15","GSM4058907",0
"697","18~40","GSM4058907",0
"698","41~54","GSM4058907",0
"699","55~","GSM4058907",36
"700","unknown","GSM4058907",0
"701","<1","GSM4058908",0
"702","1~17","GSM4058908",0
"703","15","GSM4058908",0
"704","18~40","GSM4058908",11
"705","41~54","GSM4058908",0
"706","55~","GSM4058908",0
"707","unknown","GSM4058908",0
"708","<1","GSM4058909",0
"709","1~17","GSM4058909",0
"710","15","GSM4058909",0
"711","18~40","GSM4058909",0
"712","41~54","GSM4058909",0
"713","55~","GSM4058909",42
"714","unknown","GSM4058909",0
"715","<1","GSM4058913",0
"716","1~17","GSM4058913",0
"717","15","GSM4058913",0
"718","18~40","GSM4058913",93
"719","41~54","GSM4058913",0
"720","55~","GSM4058913",0
"721","unknown","GSM4058913",0
"722","<1","GSM4058914",0
"723","1~17","GSM4058914",0
"724","15","GSM4058914",0
"725","18~40","GSM4058914",0
"726","41~54","GSM4058914",0
"727","55~","GSM4058914",91
"728","unknown","GSM4058914",0
"729","<1","GSM4058915",0
"730","1~17","GSM4058915",0
"731","15","GSM4058915",0
"732","18~40","GSM4058915",0
"733","41~54","GSM4058915",0
"734","55~","GSM4058915",18
"735","unknown","GSM4058915",0
"736","<1","GSM4058916",0
"737","1~17","GSM4058916",0
"738","15","GSM4058916",0
"739","18~40","GSM4058916",0
"740","41~54","GSM4058916",0
"741","55~","GSM4058916",21
"742","unknown","GSM4058916",0
"743","<1","GSM4058917",0
"744","1~17","GSM4058917",0
"745","15","GSM4058917",0
"746","18~40","GSM4058917",0
"747","41~54","GSM4058917",0
"748","55~","GSM4058917",166
"749","unknown","GSM4058917",0
"750","<1","GSM4058918",0
"751","1~17","GSM4058918",0
"752","15","GSM4058918",0
"753","18~40","GSM4058918",22
"754","41~54","GSM4058918",0
"755","55~","GSM4058918",0
"756","unknown","GSM4058918",0
"757","<1","GSM4058919",0
"758","1~17","GSM4058919",0
"759","15","GSM4058919",0
"760","18~40","GSM4058919",20
"761","41~54","GSM4058919",0
"762","55~","GSM4058919",0
"763","unknown","GSM4058919",0
"764","<1","GSM4058920",0
"765","1~17","GSM4058920",0
"766","15","GSM4058920",0
"767","18~40","GSM4058920",5
"768","41~54","GSM4058920",0
"769","55~","GSM4058920",0
"770","unknown","GSM4058920",0
"771","<1","GSM4058921",0
"772","1~17","GSM4058921",0
"773","15","GSM4058921",0
"774","18~40","GSM4058921",0
"775","41~54","GSM4058921",0
"776","55~","GSM4058921",42
"777","unknown","GSM4058921",0
"778","<1","GSM4058922",0
"779","1~17","GSM4058922",0
"780","15","GSM4058922",0
"781","18~40","GSM4058922",0
"782","41~54","GSM4058922",19
"783","55~","GSM4058922",0
"784","unknown","GSM4058922",0
"785","<1","GSM4058923",0
"786","1~17","GSM4058923",0
"787","15","GSM4058923",0
"788","18~40","GSM4058923",0
"789","41~54","GSM4058923",0
"790","55~","GSM4058923",16
"791","unknown","GSM4058923",0
"792","<1","GSM4058924",0
"793","1~17","GSM4058924",0
"794","15","GSM4058924",0
"795","18~40","GSM4058924",21
"796","41~54","GSM4058924",0
"797","55~","GSM4058924",0
"798","unknown","GSM4058924",0
"799","<1","GSM4058925",0
"800","1~17","GSM4058925",0
"801","15","GSM4058925",0
"802","18~40","GSM4058925",3
"803","41~54","GSM4058925",0
"804","55~","GSM4058925",0
"805","unknown","GSM4058925",0
"806","<1","GSM4058926",0
"807","1~17","GSM4058926",0
"808","15","GSM4058926",0
"809","18~40","GSM4058926",0
"810","41~54","GSM4058926",3
"811","55~","GSM4058926",0
"812","unknown","GSM4058926",0
"813","<1","GSM4058927",0
"814","1~17","GSM4058927",0
"815","15","GSM4058927",0
"816","18~40","GSM4058927",0
"817","41~54","GSM4058927",39
"818","55~","GSM4058927",0
"819","unknown","GSM4058927",0
"820","<1","GSM4058928",0
"821","1~17","GSM4058928",0
"822","15","GSM4058928",0
"823","18~40","GSM4058928",0
"824","41~54","GSM4058928",0
"825","55~","GSM4058928",85
"826","unknown","GSM4058928",0
"827","<1","GSM4058931",0
"828","1~17","GSM4058931",0
"829","15","GSM4058931",0
"830","18~40","GSM4058931",0
"831","41~54","GSM4058931",0
"832","55~","GSM4058931",80
"833","unknown","GSM4058931",0
"834","<1","GSM4058932",0
"835","1~17","GSM4058932",0
"836","15","GSM4058932",0
"837","18~40","GSM4058932",0
"838","41~54","GSM4058932",0
