"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL9",4.49281301774064e-08,0.641185247763457,0.87,0.701,0.00121845089041126,"COPD","RPL9"
"PLPP2",4.79722140663731e-08,1.23172013955771,0.553,0.299,0.00130100644548004,"COPD","PLPP2"
"PIGR",5.01826133588108e-08,0.742288416942026,0.806,0.62,0.00136095247429095,"COPD","PIGR"
"TUBA1B",5.05173385303973e-08,1.31272637506595,0.439,0.161,0.00137003022094438,"COPD","TUBA1B"
"RPL4",5.2897974221696e-08,0.776978422552578,0.806,0.642,0.00143459306089239,"COPD","RPL4"
"TSTA3",5.31200563279602e-08,2.04790894149163,0.296,0.058,0.00144061592761428,"COPD","TSTA3"
"FAM213A",6.65924030637908e-08,2.24099403988372,0.217,0.015,0.00180598597109001,"COPD","FAM213A"
"RPL18",7.11900334000098e-08,0.622260096727326,0.877,0.766,0.00193067370580826,"COPD","RPL18"
"ANXA2",7.39608420382198e-08,0.590674129689305,0.913,0.781,0.00200581803607652,"COPD","ANXA2"
"TYMP",7.82972039930977e-08,2.07521635967123,0.352,0.109,0.00212342017229281,"COPD","TYMP"
"RNASET2",7.92092555558085e-08,1.99062786463373,0.269,0.044,0.00214815501067353,"COPD","RNASET2"
"HSD17B11",8.44495352251032e-08,1.49308894740257,0.431,0.153,0.0022902713953048,"COPD","HSD17B11"
"COX20",8.82959237647903e-08,1.65086058745501,0.348,0.095,0.00239458545250111,"COPD","COX20"
"RPL37A",9.5786599388074e-08,0.528852149184251,0.905,0.788,0.00259773257540457,"COPD","RPL37A"
"ARHGDIA",9.87530577290895e-08,1.77958931686736,0.34,0.095,0.00267818292561291,"COPD","ARHGDIA"
"PQLC1",1.12179426856222e-07,2.15737447492065,0.213,0.015,0.00304230605634075,"COPD","PQLC1"
"AQP5",1.12841270003292e-07,1.4154525268571,0.561,0.307,0.00306025524248928,"COPD","AQP5"
"SARS",1.36248595344631e-07,1.95910691039796,0.3,0.073,0.0036950619057464,"COPD","SARS"
"PSMA2",1.38609569273036e-07,1.52367866234256,0.336,0.088,0.00375909151868473,"COPD","PSMA2"
"RPS18",1.46552780208939e-07,0.600248232192151,0.921,0.788,0.00397451139926644,"COPD","RPS18"
"RPS28",1.49073771887747e-07,0.520607461269535,0.913,0.81,0.00404288069359569,"COPD","RPS28"
"CHMP4A",1.53231502457883e-07,1.71503922309928,0.253,0.036,0.00415563834665778,"COPD","CHMP4A"
"EPRS",1.55318552803699e-07,1.85535333260391,0.285,0.058,0.00421223915203633,"COPD","EPRS"
