"","experiment","accession","counts"
"465","GSE139534","367C_12h",0
"466","GSE139555","367C_12h",0
"467","GSE139819","367C_12h",0
"468","GSE150247","367C_12h",0
"469","GSE157376","367C_12h",0
"470","GSE158942","367C_12h",0
"471","GSE160664","367C_12h",0
"472","GSE161382","367C_12h",0
"473","GSE167295","367C_12h",0
"474","GSE168191","367C_12h",0
"475","GSE169471","367C_12h",0
"476","GSE171524","367C_12h",0
"477","GSE173896","367C_12h",0
"478","GSE181388","367C_12h",0
"479","GSE196303","367C_12h",0
"480","GSE196341","367C_12h",0
"481","GSE227136","367C_12h",0
"482","HCL","367C_12h",0
"483","HTAN_MSK","367C_12h",0
"484","munich_cohort_human","367C_12h",0
"485","P115_Syn21041850_Lung_scRNASEQ","367C_12h",0
"486","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","367C_12h",0
"487","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","367C_12h",0
"488","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","367C_12h",0
"489","P90_COVID19CELLATLAS_Lung_scRNASEQ","367C_12h",0
"490","P91_COVID19CELLATLAS_Lung_scRNASEQ","367C_12h",0
"491","Travaglini_Krasnow_2020","367C_12h",0
"492","Vieira_Teichmann_2019","367C_12h",0
"493","E-MTAB-11278","367C_24h",0
"494","EGAS00001004481","367C_24h",0
"495","ERP114453","367C_24h",11
"496","Fib_Atlas","367C_24h",0
"497","GSE121080","367C_24h",0
"498","GSE122960","367C_24h",0
"499","GSE126030","367C_24h",0
"500","GSE132771","367C_24h",0
"501","GSE132914","367C_24h",0
"502","GSE134355","367C_24h",0
"503","GSE135893","367C_24h",0
"504","GSE136831","367C_24h",0
"505","GSE137026","367C_24h",0
"506","GSE139534","367C_24h",0
"507","GSE139555","367C_24h",0
"508","GSE139819","367C_24h",0
"509","GSE150247","367C_24h",0
"510","GSE157376","367C_24h",0
"511","GSE158942","367C_24h",0
"512","GSE160664","367C_24h",0
"513","GSE161382","367C_24h",0
"514","GSE167295","367C_24h",0
"515","GSE168191","367C_24h",0
"516","GSE169471","367C_24h",0
"517","GSE171524","367C_24h",0
"518","GSE173896","367C_24h",0
"519","GSE181388","367C_24h",0
"520","GSE196303","367C_24h",0
"521","GSE196341","367C_24h",0
"522","GSE227136","367C_24h",0
"523","HCL","367C_24h",0
"524","HTAN_MSK","367C_24h",0
"525","munich_cohort_human","367C_24h",0
"526","P115_Syn21041850_Lung_scRNASEQ","367C_24h",0
"527","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","367C_24h",0
"528","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","367C_24h",0
"529","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","367C_24h",0
"530","P90_COVID19CELLATLAS_Lung_scRNASEQ","367C_24h",0
"531","P91_COVID19CELLATLAS_Lung_scRNASEQ","367C_24h",0
"532","Travaglini_Krasnow_2020","367C_24h",0
"533","Vieira_Teichmann_2019","367C_24h",0
"534","E-MTAB-11278","367C_72h",0
