"","param","celltype","counts"
"335","Vieira_Teichmann_2019_Dropseq_1","Airway Epithelial",0
"336","Vieira_Teichmann_2019_Dropseq_2","Airway Epithelial",0
"337","ZM3KACng_LUNG","Airway Epithelial",0
"338","101CV0ng_LUNG","AT1",6
"339","16E0F2ng_LUNG","AT1",10
"340","1A1DFBng_LUNG","AT1",5
"341","343B_0h","AT1",0
"342","343B_24h","AT1",0
"343","343B_72h","AT1",0
"344","356C_0h","AT1",0
"345","356C_12h","AT1",0
"346","356C_24h","AT1",1
"347","356C_72h","AT1",0
"348","367C_0h","AT1",0
"349","367C_12h","AT1",0
"350","367C_24h","AT1",0
"351","367C_72h","AT1",0
"352","368C_0h","AT1",0
"353","368C_12h","AT1",0
"354","368C_24h","AT1",0
"355","368C_72h","AT1",0
"356","390C_0h","AT1",0
"357","390C_12h","AT1",0
"358","390C_24h","AT1",0
"359","390C_72h","AT1",0
"360","4951STDY7472265_LUNG","AT1",0
"361","4951STDY7472266_LUNG","AT1",0
"362","4951STDY7472267_LUNG","AT1",0
"363","4951STDY7487591_LUNG","AT1",0
"364","4951STDY7487592_LUNG","AT1",0
"365","4951STDY7487593_LUNG","AT1",0
"366","9JQK55ng_LUNG","AT1",2
"367","A9LCTZng_LUNG","AT1",11
"368","AdultLung_1","AT1",4
"369","AdultLung_2","AT1",0
"370","AdultLung_3","AT1",0
"371","CTTV027_RNAseq6949176_LUNG","AT1",0
"372","CTTV027_RNAseq6949177_LUNG","AT1",0
"373","CTTV027_RNAseq7118945_LUNG","AT1",0
"374","CTTV027_RNAseq7118946_LUNG","AT1",0
"375","CTTV027_RNAseq7333557_LUNG","AT1",0
"376","D088_LUNG","AT1",7
"377","D122_LUNG","AT1",7
"378","D150_LUNG","AT1",9
"379","D175_LUNG","AT1",3
"380","D231_LUNG","AT1",4
"381","distal_1a_LUNG","AT1",1
"382","distal_1b_LUNG","AT1",0
"383","distal_2_LUNG","AT1",0
"384","distal_3_LUNG","AT1",1
"385","ERR8048258","AT1",0
"386","ERR8048273","AT1",0
"387","ERR8048274","AT1",0
"388","FetalLung_1","AT1",1
"389","FetalLung_2","AT1",1
"390","Fib_Atlas","AT1",0
"391","GSM3425686","AT1",0
"392","GSM3425687","AT1",0
"393","GSM3425692","AT1",0
"394","GSM3425693","AT1",0
"395","GSM3489182","AT1",1
"396","GSM3489185","AT1",2
"397","GSM3489187","AT1",0
"398","GSM3489189","AT1",0
"399","GSM3489191","AT1",0
"400","GSM3489193","AT1",5
"401","GSM3489195","AT1",0
"402","GSM3489197","AT1",1
"403","GSM3589406","AT1",0
"404","GSM3589407","AT1",0
"405","GSM3891620","AT1",0
"406","GSM3891621","AT1",1
"407","GSM3891622","AT1",0
"408","GSM3891623","AT1",1
"409","GSM3891624","AT1",0
"410","GSM3891625","AT1",0
"411","GSM3891632","AT1",0
"412","GSM3891633","AT1",0
"413","GSM3891634","AT1",0
"414","GSM3891635","AT1",0
"415","GSM3896324","AT1",1
"416","GSM3896325","AT1",0
"417","GSM3896326","AT1",0
"418","GSM4008628","AT1",0
"419","GSM4008629","AT1",0
"420","GSM4008630","AT1",0
"421","GSM4008631","AT1",0
"422","GSM4008632","AT1",0
"423","GSM4008633","AT1",0
"424","GSM4037301","AT1",0
"425","GSM4037302","AT1",0
"426","GSM4037305","AT1",9
"427","GSM4037306","AT1",0
"428","GSM4037309","AT1",0
"429","GSM4037313","AT1",0
"430","GSM4037316","AT1",2
"431","GSM4037323","AT1",0
"432","GSM4037324","AT1",2
"433","GSM4037325","AT1",0
"434","GSM4058901","AT1",0
"435","GSM4058904","AT1",0
"436","GSM4058905","AT1",0
"437","GSM4058907","AT1",0
"438","GSM4058908","AT1",3
"439","GSM4058909","AT1",0
"440","GSM4058913","AT1",0
"441","GSM4058914","AT1",0
"442","GSM4058915","AT1",0
"443","GSM4058916","AT1",1
"444","GSM4058917","AT1",5
"445","GSM4058918","AT1",1
"446","GSM4058919","AT1",1
"447","GSM4058920","AT1",0
"448","GSM4058921","AT1",0
"449","GSM4058922","AT1",2
"450","GSM4058923","AT1",0
"451","GSM4058924","AT1",0
"452","GSM4058925","AT1",0
"453","GSM4058926","AT1",1
"454","GSM4058927","AT1",0
"455","GSM4058928","AT1",2
"456","GSM4058931","AT1",0
"457","GSM4058932","AT1",1
"458","GSM4058933","AT1",6
"459","GSM4058934","AT1",1
"460","GSM4058935","AT1",3
"461","GSM4058936","AT1",0
"462","GSM4058937","AT1",0
"463","GSM4058938","AT1",1
"464","GSM4058939","AT1",2
"465","GSM4058940","AT1",3
"466","GSM4058941","AT1",0
"467","GSM4058942","AT1",1
"468","GSM4058947","AT1",1
"469","GSM4058949","AT1",1
"470","GSM4058953","AT1",1
"471","GSM4058956","AT1",1
"472","GSM4058957","AT1",1
"473","GSM4058962","AT1",7
"474","GSM4058963","AT1",0
"475","GSM4058971","AT1",0
"476","GSM4058973","AT1",0
"477","GSM4058975","AT1",3
"478","GSM4058976","AT1",0
"479","GSM4058977","AT1",6
