"","gender","accession","counts"
"765","unknown","GSM7103306",0
"766","F","GSM7103307",22
"767","M","GSM7103307",0
"768","unknown","GSM7103307",0
"769","F","GSM7103308",0
"770","M","GSM7103308",0
"771","unknown","GSM7103308",10
"772","F","GSM7103313",0
"773","M","GSM7103313",0
"774","unknown","GSM7103313",47
"775","F","GSM7103314",0
"776","M","GSM7103314",0
"777","unknown","GSM7103314",214
"778","F","GSM7103315",0
"779","M","GSM7103315",0
"780","unknown","GSM7103315",92
"781","F","GSM7103316",0
"782","M","GSM7103316",138
"783","unknown","GSM7103316",0
"784","F","GSM7103317",76
"785","M","GSM7103317",0
"786","unknown","GSM7103317",0
"787","F","GSM7103318",0
"788","M","GSM7103318",0
"789","unknown","GSM7103318",172
"790","F","GSM7103319",215
"791","M","GSM7103319",0
"792","unknown","GSM7103319",0
"793","F","GSM7103320",0
"794","M","GSM7103320",48
"795","unknown","GSM7103320",0
"796","F","GSM7103327",0
"797","M","GSM7103327",1
"798","unknown","GSM7103327",0
"799","F","GSM7103334",0
"800","M","GSM7103334",27
"801","unknown","GSM7103334",0
"802","F","JVV9L8ng_LUNG",0
"803","M","JVV9L8ng_LUNG",0
"804","unknown","JVV9L8ng_LUNG",19
"805","F","KJYDM1ng_LUNG",0
"806","M","KJYDM1ng_LUNG",0
"807","unknown","KJYDM1ng_LUNG",11
"808","F","LungTranscriptome7119452_LUNG",0
"809","M","LungTranscriptome7119452_LUNG",0
"810","unknown","LungTranscriptome7119452_LUNG",2
"811","F","LungTranscriptome7119453_LUNG",0
"812","M","LungTranscriptome7119453_LUNG",0
"813","unknown","LungTranscriptome7119453_LUNG",4
"814","F","LungTranscriptome7135919_LUNG",0
"815","M","LungTranscriptome7135919_LUNG",0
"816","unknown","LungTranscriptome7135919_LUNG",13
"817","F","LungTranscriptome7135920_LUNG",0
"818","M","LungTranscriptome7135920_LUNG",0
"819","unknown","LungTranscriptome7135920_LUNG",5
"820","F","LungTranscriptome7185212_LUNG",0
"821","M","LungTranscriptome7185212_LUNG",0
"822","unknown","LungTranscriptome7185212_LUNG",14
"823","F","LungTranscriptome7185213_LUNG",0
"824","M","LungTranscriptome7185213_LUNG",0
"825","unknown","LungTranscriptome7185213_LUNG",3
"826","F","LungTranscriptome7239213_LUNG",0
"827","M","LungTranscriptome7239213_LUNG",0
"828","unknown","LungTranscriptome7239213_LUNG",4
"829","F","LungTranscriptome7239217_LUNG",0
"830","M","LungTranscriptome7239217_LUNG",0
"831","unknown","LungTranscriptome7239217_LUNG",11
"832","F","LungTranscriptome7239218_LUNG",0
"833","M","LungTranscriptome7239218_LUNG",0
"834","unknown","LungTranscriptome7239218_LUNG",9
"835","F","LungTranscriptome7239219_LUNG",0
"836","M","LungTranscriptome7239219_LUNG",0
"837","unknown","LungTranscriptome7239219_LUNG",4
"838","F","LungTranscriptome7239220_LUNG",0
"839","M","LungTranscriptome7239220_LUNG",0
"840","unknown","LungTranscriptome7239220_LUNG",9
"841","F","medial_2_LUNG",0
"842","M","medial_2_LUNG",0
"843","unknown","medial_2_LUNG",1
"844","F","medial_3_LUNG",0
"845","M","medial_3_LUNG",0
"846","unknown","medial_3_LUNG",1
"847","F","muc10380",0
"848","M","muc10380",0
"849","unknown","muc10380",29
"850","F","muc3843",0
"851","M","muc3843",0
"852","unknown","muc3843",8
"853","F","muc4658",0
"854","M","muc4658",0
"855","unknown","muc4658",15
"856","F","muc4659",0
"857","M","muc4659",0
"858","unknown","muc4659",1
"859","F","muc5103",0
"860","M","muc5103",0
"861","unknown","muc5103",16
"862","F","muc5105",0
"863","M","muc5105",0
"864","unknown","muc5105",10
"865","F","muc5212",0
"866","M","muc5212",0
"867","unknown","muc5212",8
"868","F","muc5213",0
"869","M","muc5213",0
"870","unknown","muc5213",13
"871","F","muc9832",0
"872","M","muc9832",0
"873","unknown","muc9832",7
"874","F","muc9833",0
"875","M","muc9833",0
"876","unknown","muc9833",18
"877","F","ODGS1Mng_LUNG",0
"878","M","ODGS1Mng_LUNG",0
"879","unknown","ODGS1Mng_LUNG",21
"880","F","P1_2_LUNG",0
"881","M","P1_2_LUNG",0
"882","unknown","P1_2_LUNG",12
"883","F","P1_3_LUNG",0
"884","M","P1_3_LUNG",0
"885","unknown","P1_3_LUNG",19
"886","F","P1_4_LUNG",0
"887","M","P1_4_LUNG",0
"888","unknown","P1_4_LUNG",14
"889","F","P2_1_LUNG",0
"890","M","P2_1_LUNG",0
