"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"800","SLIT2",2.02143300928468e-10,1.00424623409399,0.363,0.225,1.85102620660198e-05,"Normal","SLIT2","Ciliated"
"801","CLIC6",2.05021554600173e-10,0.372883869623338,0.769,0.706,1.87738237547379e-05,"Normal","CLIC6","Ciliated"
"802","FMN2",2.06570487045011e-10,0.871683068761687,0.412,0.273,1.89156594987117e-05,"Normal","FMN2","Ciliated"
"803","GSE1",2.06991920677535e-10,0.747489471752858,0.572,0.479,1.89542501764419e-05,"Normal","GSE1","Ciliated"
"804","RAD9A",2.09836795753949e-10,0.548963181627286,0.677,0.583,1.92147553871892e-05,"Normal","RAD9A","Ciliated"
"805","CDK17",2.32136492355869e-10,0.905310433587291,0.426,0.3,2.12567386050269e-05,"Normal","CDK17","Ciliated"
"806","SLC22A23",2.34289479116346e-10,0.601237300746743,0.643,0.563,2.14538876026838e-05,"Normal","SLC22A23","Ciliated"
"807","TXNRD1",2.37496089502192e-10,0.474447424296006,0.674,0.576,2.17475169157157e-05,"Normal","TXNRD1","Ciliated"
"808","EPPIN-WFDC6",2.61815338780726e-10,1.06692968594066,0.255,0.128,2.3974430572151e-05,"Normal","EPPIN-WFDC6","Ciliated"
"809","AHCYL2",2.61968400096932e-10,0.781718459070882,0.456,0.319,2.39884463968761e-05,"Normal","AHCYL2","Ciliated"
"810","SGO1-AS1",2.65252851342e-10,1.02360988464258,0.276,0.145,2.4289203597387e-05,"Normal","SGO1-AS1","Ciliated"
"811","RP9P",2.66438846795879e-10,1.10911257128572,0.165,0.06,2.43978052010986e-05,"Normal","RP9P","Ciliated"
"812","WDR3",2.73088114104356e-10,0.822607249713718,0.426,0.283,2.50066786085358e-05,"Normal","WDR3","Ciliated"
"813","IFT122",2.8641047852164e-10,0.640062249044566,0.591,0.464,2.62266075182266e-05,"Normal","IFT122","Ciliated"
"814","CADPS2",2.87870508778819e-10,0.838622517964788,0.453,0.321,2.63603024888765e-05,"Normal","CADPS2","Ciliated"
